age_group,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,US_native,over_50k
35-44,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,T,T
35-44,Private,HS-grad,Separated,Transport-moving,Unmarried,Black,Female,48,T,F
55-64,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,40,T,F
25-34,Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,40,T,F
25-34,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,T,T
45-54,Private,HS-grad,Divorced,Sales,Not-in-family,White,Male,40,T,F
25-34,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,40,T,F
45-54,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,T,F
45-54,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,T,F
45-54,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
35-44,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,55,T,F
25-34,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,T,F
45-54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,F,F
45-54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,T,T
45-54,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
25-34,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,T,F
25-34,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,40,T,F
25-34,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,T,F
45-54,Private,HS-grad,Separated,Prof-specialty,Other-relative,Other,Female,40,F,F
15-24,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,T,F
35-44,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,50,T,F
35-44,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,40,F,F
55-64,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
